,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop
27,Portugal,"556,503",,"9,028 ",,"411,589",,"135,886",664,"54,665",887
28,Sweden,"533,265",,"10,591 ",+32,N/A,N/A,N/A,340,"52,622","1,045"
29,Bangladesh,"529,031",+702,"7,942 ",+20,"473,855",+682,"47,234",,"3,195",48
30,Pakistan,"523,011","+1,800","11,055 ",+58,"476,471","+1,243","35,485","2,341","2,343",50
31,Philippines,"504,084","+1,357","9,978 ",+69,"466,249",+324,"27,857",727,"4,567",90
32,Switzerland,"502,191","+2,260","8,820 ",+28,"317,600",,"175,771",325,"57,793","1,015"
33,Morocco,"460,144",,"7,977 ",,"435,686",,"16,481",583,"12,386",215
34,Austria,"396,425","+1,486","7,199 ",+77,"373,090","+2,225","16,136",332,"43,878",797
35,Serbia,"375,799","+1,688","3,791 ",+20,"31,536",,"340,472",171,"43,107",435
36,Saudi Arabia,"365,325",+226,"6,335 ",+6,"357,004",+156,"1,986",327,"10,405",180
37,Hungary,"353,276",+573,"11,520 ",+111,"231,915","+1,474","109,841",309,"36,621","1,194"
38,Japan,"328,294",,"4,501 ",,"252,787",,"71,006",973,"2,600",36
39,Jordan,"316,427",+883,"4,170 ",+17,"301,893","+1,553","10,364",154,"30,845",406
40,Panama,"299,361",,"4,828 ",,"241,128",,"53,405",239,"68,788","1,109"
41,Nepal,"267,992",+348,"1,969 ",+4,"262,259",+441,"3,764",,"9,108",67
42,UAE,"260,223","+3,491",756 ,+5,"231,675","+3,311","27,792",,"26,137",76
43,Lebanon,"255,956",,"1,959 ",,"154,608",,"99,389",750,"37,594",288
44,Georgia,"249,465","+1,550","2,973 ",+15,"235,130",+494,"11,362",,"62,602",746
45,Ecuador,"231,644",,"14,322 ",,"199,332",,"17,990",500,"13,021",805
46,Belarus,"228,716","+1,356","1,601 ",+10,"212,074","+1,295","15,041",,"24,209",169
47,Azerbaijan,"227,696",+305,"3,032 ",+10,"216,720",+949,"7,944",,"22,346",298
48,Slovakia,"226,294","+1,909","3,637 ",+111,"173,761","+2,669","48,896",538,"41,437",666
49,Croatia,"225,648",+520,"4,684 ",+29,"217,880",+683,"3,084",149,"55,154","1,145"
50,Bulgaria,"212,383",,"8,565 ",,"164,255",,"39,563",329,"30,694","1,238"
51,Dominican Republic,"194,966",,"2,448 ",,"144,208",,"48,310",331,"17,874",224
52,Denmark,"190,619",+724,"1,837 ",+32,"172,456","+2,444","16,326",132,"32,846",317
53,Bolivia,"188,733","+1,550","9,680 ",+44,"144,227",+790,"34,826",71,"16,048",823
54,Costa Rica,"186,016",,"2,458 ",,"142,245",,"41,313",239,"36,334",480
55,Tunisia,"181,885",,"5,750 ",,"131,019",,"45,116",385,"15,302",484
56,Ireland,"174,843",,"2,616 ",,"23,364",,"148,863",202,"35,193",527
57,Kazakhstan,"170,098",+999,"2,349 ",,"154,449",+946,"13,300",221,"9,000",124
58,Lithuania,"168,708",+717,"2,494 ",+25,"104,297",,"61,917",148,"62,458",923
59,Malaysia,"165,371","+3,631",619 ,+14,"125,288","+2,944","39,464",238,"5,074",19
60,Armenia,"164,912",+236,"3,007 ",+9,"153,500",+436,"8,405",,"55,595","1,014"
61,Kuwait,"158,244",,948 ,,"151,496",,"5,800",56,"36,757",220
62,Egypt,"157,275",,"8,638 ",,"123,491",,"25,146",90,"1,521",84
63,Moldova,"153,506",+394,"3,282 ",+15,"143,766",+436,"6,458",233,"38,102",815
64,Palestine,"152,555",,"1,726 ",,"140,075",,"10,754",81,"29,531",334
65,Slovenia,"151,137","+1,690","3,231 ",+25,"125,315","+2,570","22,591",187,"72,694","1,554"
66,Guatemala,"149,146",,"5,278 ",,"134,824",,"9,044",5,"8,242",292
67,Greece,"148,925",,"5,488 ",,"9,989",,"133,448",322,"14,327",528
68,Qatar,"147,504",,248 ,,"144,015",,"3,241",32,"52,534",88
69,Myanmar,"135,243",+448,"2,986 ",+13,"118,657",+457,"13,600",,"2,476",55
70,Honduras,"134,938",+827,"3,368 ",+14,"60,165",+33,"71,405",253,"13,506",337
71,Oman,"132,146",+135,"1,516 ",+2,"124,398",+185,"6,232",22,"25,525",293
72,Ethiopia,"131,546",,"2,033 ",,"116,335",,"13,178",224,"1,129",17
73,Paraguay,"122,588",,"2,518 ",,"98,465",,"21,605",204,"17,072",351
74,Venezuela,"120,444",,"1,112 ",,"113,328",,"6,004",122,"4,242",39
75,Bosnia and Herzegovina,"118,383",+300,"4,509 ",+23,"88,071","+1,566","25,803",,"36,208","1,379"
76,Nigeria,"112,004",,"1,449 ",,"89,939",,"20,616",10,536,7
77,Libya,"110,465",+596,"1,700 ",+2,"88,062",+865,"20,703",,"15,957",246
78,Algeria,"104,092",,"2,840 ",,"70,747",,"30,505",42,"2,351",64
79,Kenya,"99,227",,"1,734 ",,"82,427",,"15,066",28,"1,823",32
80,Bahrain,"97,940",,360 ,,"94,646",,"2,934",16,"56,499",208
81,North Macedonia,"88,992",,"2,715 ",,"73,777",,"12,500",138,"42,716","1,303"
82,Kyrgyzstan,"83,268",+90,"1,390 ",+3,"79,249",+145,"2,629",50,"12,649",211
83,Uzbekistan,"78,091",+55,620 ,+1,"76,585",+47,886,158,"2,315",18
84,S. Korea,"73,115",+386,"1,283 ",+19,"59,468",+745,"12,364",335,"1,425",25
85,Albania,"67,982",,"1,281 ",,"40,870",,"25,831",39,"23,637",445
86,Norway,"59,254",+220,525 ,+4,"49,835",,"8,894",32,"10,883",96
87,Singapore,"59,157",+30,29 ,,"58,894",+26,234,,"10,068",5
88,Ghana,"58,065",,352 ,,"55,789",,"1,924",64,"1,848",11
89,Latvia,"56,720",+812,"1,012 ",+29,"42,426",,"13,282",95,"30,257",540
90,Montenegro,"55,803",,746 ,,"45,898",,"9,159",68,"88,843","1,188"
91,Afghanistan,"54,278",+137,"2,354 ",+8,"46,554",+195,"5,370",759,"1,377",60
92,Sri Lanka,"54,087",+337,270 ,,"46,594",+774,"7,223",,"2,520",13
93,El Salvador,"51,437",,"1,509 ",+11,"45,223",,"4,705",115,"7,908",232
